Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL,Normalized_Profile_URL,Source_Province_Search,Scraped_At,venue_type,lat,lon,Raw_Building_Area_SqFt,Building_Area_SqFt,Multi_Tenant_Flag,heuristic_capacity,Estimated_Capacity,Estimated_Capacity_Low,Estimated_Capacity_High,Estimation_Method,Confidence
BlueShore Financial Centre for the Performing Arts,North Vancouver,BC,V7J 3H5,"2055 Purcell Way, North Vancouver, BC V7J 3H5",,https://www.capilanou.ca/student-services/community/blueshore-financial-centre-for-the-performing-arts/,"College/University, Music Venue","Classical, Folk, Jazz",372.0,,,"""Our theatre at North Vancouver's Capilano University presents jazz, folk & classical music & speakers."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/BlueShoreatCapU,https://www.instagram.com/blueshoreatcapu/,Cyrille Brotto; Ablaye cissoko,https://www.indieonthemove.com/venues/blueshore-financial-centre-for-the-performing-arts-north-vancouver-british-columbia,https://www.indieonthemove.com/venues/blueshore-financial-centre-for-the-performing-arts-north-vancouver-british-columbia,British Columbia,2026-05-03T13:43:35,theatre,49.316135,-123.0198978,38735.1,38735.1,False,3320.1514285714284,372.0,372.0,372.0,known,known
Centennial Theatre,North Vancouver,BC,V7M 3L1,"2300 Lonsdale Avenue, North Vancouver, BC V7M 3L1",,https://www.nvrc.ca/centennial-theatre,"Music Venue, Rental",All Genres,658.0,,,"""The largest multi-purpose performing arts venue on Vancouver's North Shore."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/CentennialTheatre/,,Savonarola; Crisprr; Thomas Enhco,https://www.indieonthemove.com/venues/centennial-theatre-north-vancouver-british-columbia,https://www.indieonthemove.com/venues/centennial-theatre-north-vancouver-british-columbia,British Columbia,2026-05-03T13:43:40,venue,49.3138331,-123.076657,29168.6,7292.1,True,437.526,658.0,658.0,658.0,known,known
Chilliwack Cultural Centre,Chilliwack,BC,V2P 4A6,"9201 Corbould Street, Chilliwack, BC V2P 4A6",,https://www.chilliwackculturalcentre.ca/,"Music Venue, Rental",All Genres,580.0,,,"""Chilliwack Cultural Centre houses two unique performance theatres, an art gallery, music instruction studios, arts and crafts studios and meeting rooms."" Concerts can be held any night of the week.",Requires Premium,https://www.facebook.com/ChwkCulturalCtr/,https://www.instagram.com/chilliwackculturalcentre/,Colin James; PWR UP; Big Awesome Entertainment,https://www.indieonthemove.com/venues/chilliwack-cultural-centre-chilliwack-british-columbia,https://www.indieonthemove.com/venues/chilliwack-cultural-centre-chilliwack-british-columbia,British Columbia,2026-05-03T13:43:46,theatre,49.1701375,-121.9645732,53684.6,13421.1,True,1150.3799999999999,580.0,580.0,580.0,known,known
Clarke Theatre,Mission,BC,V2V 7B1,"33700 Prentis Avenue, Mission, BC V2V 7B1",,https://www.mission.ca/clarke-theatre,"Music Venue, Rental",All Genres,702.0,,,"""The Clarke Theatre is a 702 balcony theatre with 496 seats on the main floor and 206 in the balcony."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/ClarkeTheatre/,https://www.instagram.com/clarke_theatre/,,https://www.indieonthemove.com/venues/clarke-theatre-mission-british-columbia,https://www.indieonthemove.com/venues/clarke-theatre-mission-british-columbia,British Columbia,2026-05-03T13:43:50,theatre,49.1437418,-122.2900999,110724.4,27681.1,True,2372.6657142857143,702.0,702.0,702.0,known,known
The Cultch,Vancouver,BC,V5L 2H6,"1895 Venables Street, Vancouver, BC V5L 2H6",,https://thecultch.com/,"Music Venue, Rental",All Genres,350.0,,,"""For over 50 years in East Vancouver, The Cultch has offered programming in contemporary theatre, dance & music by local, national & international artists."" While most concerts take place on Friday and Saturday nights, they can be held any night of the week.",Requires Premium,https://www.facebook.com/TheCultch/,https://www.instagram.com/thecultch/,,https://www.indieonthemove.com/venues/the-cultch-vancouver-british-columbia,https://www.indieonthemove.com/venues/the-cultch-vancouver-british-columbia,British Columbia,2026-05-03T13:43:56,club,49.2768625,-123.066097,10967.0,2741.8,True,235.01142857142858,350.0,350.0,350.0,known,known
Evergreen Cultural Centre,Coquitlam,BC,V3B 7Y3,"1205 Pinetree Way, Coquitlam, BC V3B 7Y3",,https://evergreenculturalcentre.ca/,"Music Venue, Rental",All Genres,720.0,,,"""The Evergreen is the visual and performing arts hub of the Tri-Cities. Join us for a show from our season of performing arts, a fun event hosted by members of our community, or rent one of our theatre or studio spaces for an event of your own!"" Concerts and events can be held any day/night of the week.",Requires Premium,https://www.facebook.com/evergreenculturalcentre/,https://www.instagram.com/evergreenarts/,Maggie's Wake,https://www.indieonthemove.com/venues/evergreen-cultural-centre-coquitlam-british-columbia,https://www.indieonthemove.com/venues/evergreen-cultural-centre-coquitlam-british-columbia,British Columbia,2026-05-03T13:43:59,theatre,49.285227,-122.7905708,25828.3,25828.3,False,2213.8542857142857,720.0,720.0,720.0,known,known
Maury Young Arts Centre,Whistler,BC,V8E 0X4,"4335 Blackcomb Way, Whistler, BC V8E 0X4",,https://artswhistler.com/,"Music Venue, Rental",All Genres,238.0,,,"""Arts and culture in Whistler, BC. Celebrating local creativity in the Sea to Sky - art, music, class."" Most shows take place Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/artswhistler/,https://www.instagram.com/artswhistler/,,https://www.indieonthemove.com/venues/maury-young-arts-centre-whistler-british-columbia,https://www.indieonthemove.com/venues/maury-young-arts-centre-whistler-british-columbia,British Columbia,2026-05-03T13:44:04,venue,50.1177292,-122.9542277,8503.0,8503.0,False,510.18,238.0,238.0,238.0,known,known
Max Cameron Theatre,Powell River,BC,V8A 2L6,"5400 Marine Avenue, Powell River, BC V8A 2L6",,https://www.maxcamerontheatre.ca/,"Music Venue, Rental",All Genres,402.0,,,"""Located on the campus of Brooks Secondary School, the 400-seat Max Cameron Theatre was commissioned by School District #47 as part of an expansion to the school that also included a digital media center, an acoustically engineered choral room, a film and video recording studio, and a dance and drama studio."" Concerts can be held any day/night of the week.",Requires Premium,https://www.facebook.com/maxcamerontheatre/,,,https://www.indieonthemove.com/venues/max-cameron-theatre-powell-river-british-columbia,https://www.indieonthemove.com/venues/max-cameron-theatre-powell-river-british-columbia,British Columbia,2026-05-03T13:44:09,club,49.8619415,-124.5409271,70252.9,17563.2,True,1505.4171428571428,402.0,402.0,402.0,known,known
Michael J. Fox Theatre,Burnaby,BC,V5J 0B2,"7373 MacPherson Avenue, Burnaby, BC V5J 0B2",,https://michaeljfoxtheatre.ca/,"Music Venue, Rental",All Genres,613.0,,,"""Our theatre is proud to be a jewel in the arts community right here in Burnaby. The theatre hosts multicultural performances, dance, theatre, music and many other community events making it one of the busiest theatre venues in the lower mainland."" Concerts can be held any day/night of the week.",Requires Premium,https://www.facebook.com/michaeljfoxtheatre,https://www.instagram.com/mjftheatre/,,https://www.indieonthemove.com/venues/michael-j-fox-theatre-burnaby-british-columbia,https://www.indieonthemove.com/venues/michael-j-fox-theatre-burnaby-british-columbia,British Columbia,2026-05-03T13:44:15,club,49.2162462,-122.9846743,172815.7,43203.9,True,7406.382857142858,613.0,613.0,613.0,known,known
Pal Studio Theatre,Vancouver,BC,V6G 3L3,"581 Cardero Street, Vancouver, BC V6G 3L3",,https://www.palvancouver.org/theatre,"Music Venue, Rental",All Genres,150.0,,,"""Located in Vancouver's Coal Harbour, our 150-seat studio is an amenity space for Performing Arts Lodge residents, a rental venue for performing arts companies and the city's only rooftop theatre!"" Concerts can be held any day/night of the week.",Requires Premium,https://www.facebook.com/palvancouver/,https://www.instagram.com/palvancouver/,,https://www.indieonthemove.com/venues/pal-studio-theatre-vancouver-british-columbia,https://www.indieonthemove.com/venues/pal-studio-theatre-vancouver-british-columbia,British Columbia,2026-05-03T13:45:18,theatre,49.2911911,-123.130162,33740.2,33740.2,False,5784.034285714285,150.0,150.0,150.0,known,known
Shadbolt Centre for the Arts,Burnaby,BC,V5G 2J3,"6450 Deer Lake Avenue, Burnaby, BC V5G 2J3",,https://www.burnaby.ca/recreation-and-arts/arts-and-culture-facilities/shadbolt-centre-for-the-arts,"Music Venue, Rental",All Genres,285.0,,,"""The Shadbolt Centre for the Arts is a stunning multi-use facility located in picturesque Deer Lake Park. The centre presents live performances, offers arts programs for all ages, produces community events and festivals, and its stunning architecture and flexible spaces makes it the perfect venue to host meetings, conferences and special occasions."" Concerts can be held any day/night of the week.",Requires Premium,https://www.facebook.com/ShadboltCentre,https://www.instagram.com/shadbolt_centre/,,https://www.indieonthemove.com/venues/shadbolt-centre-for-the-arts-burnaby-british-columbia,https://www.indieonthemove.com/venues/shadbolt-centre-for-the-arts-burnaby-british-columbia,British Columbia,2026-05-03T13:45:22,festival,,,,,False,,285.0,285.0,285.0,known,known
UniTea Cafe & Lounge,Ashcroft,BC,V0K 1A0,"B - 605 Railway Avenue, Ashcroft, BC V0K 1A0",,https://www.uniteacafetakeout.com/,"Music Venue, Cafe, Lounge, Open Mic","Acoustic, Americana, Bluegrass, Blues, Classical, Folk, Jazz, Roots Music, Singer-Songwriter, World",20.0,,,"""UniTea is more than just a tea room: it’s a place to learn, gather, play, relax or just connect with friends and neighbours...Monthly Entertainment Nights feature everything from classical, jazz to acoustic roots, blues and world music, poetry readings and open mic nights. UniTea’s walls are often used as an art gallery and from time to time there will be an artist in residence."" Most shows take place on Friday nights, occasionally on Saturday nights, but they are flexible.",Requires Premium,https://www.facebook.com/UniTeaInAshcroft,,,https://www.indieonthemove.com/venues/unitea-cafe-lounge-ashcroft-british-columbia,https://www.indieonthemove.com/venues/unitea-cafe-lounge-ashcroft-british-columbia,British Columbia,2026-05-03T13:45:27,bar,,,,,False,,20.0,20.0,20.0,known,known
Morrisey's Public House,Kamloops,BC,V0E 5N0,"3240 Village Way, Kamloops, BC V0E 5N0",,https://www.sunpeaksgrand.com/dine/morriseys-public-house,"Music Venue, Restaurant, Pub, Seasonal",All Genres,100.0,19+,,"""Located in the heart of the Upper Village at Sun Peaks Resort."" They host open mic on Thursday nights and shows on Saturday nights in the summer and winter months.",Requires Premium,https://www.facebook.com/morriseyspub/,https://www.instagram.com/morriseyspub/,,https://www.indieonthemove.com/venues/morriseys-public-house-kamloops-british-columbia,https://www.indieonthemove.com/venues/morriseys-public-house-kamloops-british-columbia,British Columbia,2026-05-03T13:45:32,bar,,,,,False,,100.0,100.0,100.0,known,known
Pizza Pi,Kamloops,BC,V2C 2A5,"314 Victoria Street, Kamloops, BC V2C 2A5",,https://pizzapikamloops.square.site/,"Music Venue, Restaurant, Open Mic",All Genres,,,,"""At Pizza Pi, we love to have fun. That’s why we have live music every week and a rotating cast of touring musicians coming through town for your enjoyment. Come in and enjoy the entertainment over dinner, drinks or a late night snack!"" They host live music Monday-Saturday nights with Fridays being reserved for open mic. Monday-Thursday shows are typically no cover.",Requires Premium,https://www.facebook.com/PizzaPiKamloops/,https://www.instagram.com/pizzapiyka/,Dead Churches; Minot,https://www.indieonthemove.com/venues/pizza-pi-kamloops-british-columbia,https://www.indieonthemove.com/venues/pizza-pi-kamloops-british-columbia,British Columbia,2026-05-03T13:45:37,restaurant,,,,,False,,700.0,280.0,1755.0,province_type_median,low
Privato Winery,Kamloops,BC,V2B 8N5,"5505 Westsyde Road, Kamloops, BC V2B 8N5",,https://www.privato.ca/,"Music Venue, Winery, Outdoor Performance Space, Seasonal",All Genres,,19+,,"""A hidden gem in the heart of BC’s exciting new Thompson Valley wine region, Privato is a family owned boutique winery dedicated to the production of premium Burgundian styled wine."" Live music is held every other Friday night (ticketed) and every Sunday (free), June - September, in their garden.",Requires Premium,https://www.facebook.com/privatowine,https://www.instagram.com/privatowine/,,https://www.indieonthemove.com/venues/privato-winery-kamloops-british-columbia,https://www.indieonthemove.com/venues/privato-winery-kamloops-british-columbia,British Columbia,2026-05-03T13:45:43,venue,,,,,False,,155.0,60.0,390.0,province_type_median,low
The Painted Ship,Vancouver,BC,V6K 2G6,"2884 W. Broadway, Vancouver, BC V6K 2G6",,https://www.thepaintedship.ca/,"Music Venue, Bar, Restaurant",All Genres,,,,"**Temporarily closed for spring cleaning.""Neighborhood bar, restaurant & music venue."" Most shows take place on Wednesday and Thursday nights as well as on Sunday afternoons.",Requires Premium,https://www.facebook.com/thepaintedship,https://www.instagram.com/thepaintedship/,,https://www.indieonthemove.com/venues/the-painted-ship-vancouver-british-columbia,https://www.indieonthemove.com/venues/the-painted-ship-vancouver-british-columbia,British Columbia,2026-05-03T13:45:47,bar,,,,,False,,125.0,50.0,310.0,province_type_median,low
Frankie's Jazz Club,Vancouver,BC,V6B 2M4,"755 Beatty Street, Vancouver, BC V6B 2M4",,https://www.frankiesjazzclub.ca/,Jazz & Blues,"Blues, Jazz",80.0,,,"""Frankie's Jazz is Vancouver's home to the city's best live Jazz and Blues."" Shows are held Thursday-Sunday nights. Minors are admitted with an adult until 10 PM.",Requires Premium,https://www.facebook.com/frankiesjazz/,https://www.instagram.com/frankiesjazz/,Rick Son; Sharon Minemoto; Angela Verbrugge; Rick Son; Mike DiRubbo; Mike DiRubbo; Sharon Minemoto,https://www.indieonthemove.com/venues/frankies-jazz-club-vancouver-british-columbia,https://www.indieonthemove.com/venues/frankies-jazz-club-vancouver-british-columbia,British Columbia,2026-05-03T13:45:52,venue,,,,,False,,80.0,80.0,80.0,known,known
Singletree Winery,Abbotsford,BC,V4X 1V4,"5782 Mt. Lehman Road, Abbotsford, BC V4X 1V4",,https://singletreewinery.com/,"Music Venue, Winery, Outdoor Performance Space, Seasonal","All Genres, Acoustic",,,,"""Family operated winery in beautiful Mt. Lehman, Abbotsford."" They host live music outside on two Fridays each month, June - early September.",Requires Premium,https://www.facebook.com/singletreewinery,https://www.instagram.com/singletreewine/,,https://www.indieonthemove.com/venues/singletree-winery-abbotsford-british-columbia,https://www.indieonthemove.com/venues/singletree-winery-abbotsford-british-columbia,British Columbia,2026-05-03T13:45:57,theatre,,,,,False,,370.0,150.0,930.0,province_type_median,low
Peak Cellars,Lake Country,BC,V4V 1G5,"2290 Goldie Road, Lake Country, BC V4V 1G5",,https://peakcellars.com/,"Music Venue, Winery, Outdoor Performance Space, Seasonal","All Genres, Acoustic",,,,"""Winery In Lake Country BC. Sustainable | 100% Estate Grown & Bottled."" They host live music on Wednesday nights and Sunday afternoons, mid May through the end of September.",Requires Premium,https://www.facebook.com/PeakCellarsWinery,https://www.instagram.com/peakcellars/,,https://www.indieonthemove.com/venues/peak-cellars-lake-country-british-columbia,https://www.indieonthemove.com/venues/peak-cellars-lake-country-british-columbia,British Columbia,2026-05-03T13:46:01,venue,,,,,False,,155.0,60.0,390.0,province_type_median,low
At The Waldorf,Vancouver,BC,V5L 1S4,"1489 E. Hastings Street, Vancouver, BC V5L 1S4",,https://www.atthewaldorf.com/,"Music Venue, Rental",All Genres,,19+,,"""At The Waldorf is a multi-venue complex featuring the infamous and widely popular Tiki Bar, The Hideaway, and Tabu. These historic rooms have hosted hundreds of incredible events, weddings and private performances."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/atthewaldorf,https://www.instagram.com/atthewaldorf,,https://www.indieonthemove.com/venues/at-the-waldorf-vancouver-british-columbia,https://www.indieonthemove.com/venues/at-the-waldorf-vancouver-british-columbia,British Columbia,2026-05-03T13:46:07,bar,,,,,False,,125.0,50.0,310.0,province_type_median,low
The Pearl on Granville,Vancouver,BC,V6Z 1L1,"881 Granville Street, Vancouver, BC V6Z 1L1",,https://thepearlvancouver.com/,Music Venue,All Genres,700.0,19+,,"""The Pearl is a multi purpose event and concert venue in the heart of downtown Vancouver. With its location and services, the space can be utilised for a variety of events including concerts, club nights, comedy, community events, corporate rentals, film shoots, daytime conferences and beyond."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/the.pearl.vancouver/,https://www.instagram.com/the.pearl.vancouver/,I Speak Machine; Cabaret Voltaire; Gabriel Rutledge; Colette; Holy Fuck; Dead Churches; Chief State; Brown Horse; Ducks Ltd.; Yumi Zouma,https://www.indieonthemove.com/venues/the-pearl-on-granville-vancouver-british-columbia,https://www.indieonthemove.com/venues/the-pearl-on-granville-vancouver-british-columbia,British Columbia,2026-05-03T13:46:11,club,,,,,False,,700.0,700.0,700.0,known,known
Mission Coffee House,Mission,BC,V2V 7B1,"33700 Prentis Avenue, Mission, BC V2V 7B1",,,Music Venue,"Acoustic, Americana, Blues, Country, Folk, Folk Rock, Roots Music, Singer-Songwriter, Traditional",702.0,,,"""Mission Coffee House brings joy to the community with intimate live music performances."" Shows are held in the Clarke Foundation Theatre on about one Saturday each month, September - early June.",Requires Premium,https://www.facebook.com/MissionCoffeeHouse/,https://www.instagram.com/missionconcertseries,,https://www.indieonthemove.com/venues/mission-coffee-house-mission-british-collumbia,https://www.indieonthemove.com/venues/mission-coffee-house-mission-british-collumbia,British Columbia,2026-05-03T13:46:15,restaurant,49.1437418,-122.2900999,110724.4,27681.1,True,1107.244,702.0,702.0,702.0,known,known
Murray Adaskin Salon at the Canadian Music Centre BC,Vancouver,BC,V6Z 1B7,"837 Davie Street, Vancouver, BC V6Z 1B7",,https://bc.cmccanada.org/rentals,"Music Venue, Rental","Chamber, Classical, Jazz, World",40.0,,,"""An intimate music venue in the heart of downtown Vancouver."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/CanadianMusicCentreBC,https://www.instagram.com/cmcnational/,,https://www.indieonthemove.com/venues/murray-adaskin-salon-at-the-canadian-music-centre-bc-vancouver-british-columbia,https://www.indieonthemove.com/venues/murray-adaskin-salon-at-the-canadian-music-centre-bc-vancouver-british-columbia,British Columbia,2026-05-03T13:46:51,venue,,,,,False,,40.0,40.0,40.0,known,known
Trickster's Hideout,Squamish,BC,V8B 0C3,"38005 Cleveland Avenue, Squamish, BC V8B 0C3",,https://trickstershideout.ca/,"Music Venue, Bar, Cafe",All Genres,,,,"""Coffee + Cocktails + Community Space in Squamish."" They host shows on Friday and Saturday and on Sunday afternoons with open mic on the first Wednesday of each month.",Requires Premium,https://www.facebook.com/trickstershideout/,https://www.instagram.com/trickstershideout/,,https://www.indieonthemove.com/venues/tricksters-hideout-squamish-british-columbia,https://www.indieonthemove.com/venues/tricksters-hideout-squamish-british-columbia,British Columbia,2026-05-03T13:46:55,bar,,,,,False,,125.0,50.0,310.0,province_type_median,low
Bez Arts Hub,Langley,BC,V2Y 1N3,"20230 64 Avenue, Langley, BC V2Y 1N3",,https://www.bezartshub.com/,"Music Venue, Rental, Open Mic","Acoustic, Blues, Chamber, Country, Folk, Gospel, Pop, Rock, Roots Music, Singer-Songwriter",110.0,,,"""Bez is an intimate live performance venue which hosts some of the most notable artists from all around North America and beyond. With an inspiring sense of community, the warmth of great sound and the close personal engagement with the artists, Bez offers a unique and inviting atmosphere for enjoying live performances."" Most shows take place Friday-Sunday with open mic on Thursdays.",Requires Premium,https://www.facebook.com/bezartshub/,https://www.instagram.com/bezmentorship,Bobby Bazini; Antonio Larosa; CocoLarosa; Steve Dawson; Melanie Dekker,https://www.indieonthemove.com/venues/bez-arts-hub-langley-british-columbia,https://www.indieonthemove.com/venues/bez-arts-hub-langley-british-columbia,British Columbia,2026-05-03T13:47:01,venue,,,,,False,,110.0,110.0,110.0,known,known
Carlin Hall,Tappen,BC,V0E 0X3,"4051 Myers Frontage Road, Tappen, BC V0E 0X3",,http://www.carlinhall.net/,"Music Venue, Open Mic","Acoustic, Americana, Bluegrass, Folk, Old Time, Roots Music, Singer-Songwriter, Traditional",,,,"""Carlin Hall hosts a monthly coffeehouse [on the first Saturday or each month, open mic on Sundays] and other programs.""",Requires Premium,https://www.facebook.com/carlinhalltappenBC/,https://www.instagram.com/carlin_hall/,Mike Gouchie,https://www.indieonthemove.com/venues/carlin-hall-tappen-british-columbia,https://www.indieonthemove.com/venues/carlin-hall-tappen-british-columbia,British Columbia,2026-05-03T13:47:06,restaurant,,,,,False,,700.0,280.0,1755.0,province_type_median,low
Vernon Jazz Club,Vernon,BC,V1T 5H7,"3000 31 Street, Vernon, BC V1T 5H7",,https://www.vernonjazz.com/,"Music Venue, Jazz & Blues, Seasonal","Blues, Jazz, R&B",150.0,,,"""The Vernon Jazz Club is in Vernon, BC and seats 150 in a superb intimate setting. Live music is featured every other Saturday from Sept to June.""",Requires Premium,https://www.facebook.com/JazzClubVernon/,https://www.instagram.com/vjcjazzbc/,,https://www.indieonthemove.com/venues/vernon-jazz-club-vernon-british-columbia,https://www.indieonthemove.com/venues/vernon-jazz-club-vernon-british-columbia,British Columbia,2026-05-03T13:47:11,club,,,,,False,,150.0,150.0,150.0,known,known
Salmon Arm Roots and Blues Festival,Salmon Arm,BC,V1E 1V4,"541 3rd Street SW, Salmon Arm, BC V1E 1V4",,https://rootsandblues.ca/,Music Festival,"Blues, Folk, Roots Music",,,,"""Salmon Arm Folk Music Society est. 1991."" The festival takes place in late July each year.",Requires Premium,https://www.facebook.com/RootsandBlues,https://www.instagram.com/rootsandbluesfestival/,,https://www.indieonthemove.com/venues/salmon-arm-roots-and-blues-festival-salmon-arm-british-columbia,https://www.indieonthemove.com/venues/salmon-arm-roots-and-blues-festival-salmon-arm-british-columbia,British Columbia,2026-05-03T13:47:17,festival,,,,,False,,240.0,95.0,605.0,province_type_median,low
The Effie Arts Collective,Kamloops,BC,V2B 3G8,"422 Tranquille Road, Kamloops, BC V2B 3G8",,https://effieartsco.ca/,"Music Venue, Rental",All Genres,,,,"""An intimate space, with a great stage and atmosphere. High quality lighting and sound equipment make any show at The Effie the highest quality, whether it be singer/songwriter, theatre, comedy, classical or full rock band."" Most shows take place Friday-Sunday as Monday-Thursday tend to be reserved for regular events.",Requires Premium,https://www.facebook.com/EffieArtsCollective,,,https://www.indieonthemove.com/venues/the-effie-arts-collective-kamloops-british-columbia,https://www.indieonthemove.com/venues/the-effie-arts-collective-kamloops-british-columbia,British Columbia,2026-05-03T13:47:22,theatre,,,,,False,,370.0,150.0,930.0,province_type_median,low
Vernon & District Performing Arts Centre,Vernon,BC,V1T 5T6,"3800 33rd Street, Vernon, BC V1T 5T6",,https://vdpac.ca/,"Music Venue, Rental",All Genres,750.0,,,"""The Vernon and District Performing Arts Centre houses two performance venues, administration offices and the Ticket Seller Box Office."" Shows can be held any night of the week in either space.",Requires Premium,https://www.facebook.com/vdpac/,https://www.instagram.com/vernonperformingarts/,Gold Mynd; Colin James; Jazz Sabbath; The Barra MacNeils; The Tea Party; Basia Bulat; Owen Riegling; Dalton Davis,https://www.indieonthemove.com/venues/vernon-district-performing-arts-centre-vernon-british-columbia,https://www.indieonthemove.com/venues/vernon-district-performing-arts-centre-vernon-british-columbia,British Columbia,2026-05-03T13:47:27,gallery,,,,,False,,750.0,750.0,750.0,known,known
The Longhorn Pub,Vernon,BC,V1T 6L3,"4513 25th Avenue, Vernon, BC V1T 6L3",,https://www.longhornvernon.ca/,"Bar, Music Venue, Restaurant","Acoustic, Blues, Classic Rock, Country, Dance, Rock, Singer-Songwriter",,19+,,"""Welcome to The Longhorn Pub and Liquor Store in Vernon BC where friends love to meet for delicious food, refreshments and extraordinary entertainment! Monday is Music Bingo, Tuesday is Trivia, Wednesday is Superstar Karaoke, Wednesday and Thursday our Huge Wings are on Special starting at 1pm, Friday is Live Music with No Cover, Saturdays we are open untill 1am with Superstar Karaoke Dance Party and Sundays we have alternating Special Events : Comedy, Line Dancing, Paint and Sip and so much more!!""",Requires Premium,https://www.facebook.com/TheLonghornPub/,https://www.instagram.com/thelonghornpub_/,The Gecko Band,https://www.indieonthemove.com/venues/longhorn-pub-vernon-british-columbia,https://www.indieonthemove.com/venues/longhorn-pub-vernon-british-columbia,British Columbia,2026-05-03T13:47:31,club,,,,,False,,300.0,120.0,750.0,province_type_median,low
On The Rocks Pub & Grill,Kamloops,BC,V1S 1N5,"1265 Rogers Way, Kamloops, BC V1S 1N5",,https://www.ontherockspub.ca/,"Pub, Music Venue, Restaurant","Acoustic, Classic Rock, Jazz, Rock, Singer-Songwriter",,19+,,"""The local favourite destination, serving unique food, a wide selection of drinks, passionate service with all the games & fights!"" They host live music intermittently throughout the year, generally Thursday-Saturday nights. Those under 19 are allowed inside until 4 PM.",Requires Premium,https://www.facebook.com/OnTheRocksPubGrill/,https://www.instagram.com/otrkamloops/,,https://www.indieonthemove.com/venues/on-the-rocks-pub-grill-kamloops-british-columbia,https://www.indieonthemove.com/venues/on-the-rocks-pub-grill-kamloops-british-columbia,British Columbia,2026-05-03T13:47:36,bar,,,,,False,,125.0,50.0,310.0,province_type_median,low
Martin Exeter Hall,100 Mile House,BC,V0K 2E1,"98C Cecil Place, 100 Mile House, BC V0K 2E1",,https://www.discoversouthcariboo.ca/partner/martin-exeter-hall,"Music Venue, Rental",All Genres,275.0,,,"""Martin Exeter Hall is hall is a graciously appointed lecture and performance venue. This hall features an open foyer and bench-style theatre seating for up to 275 people facing a 478 square-foot stage. The hall is used for various events from the performing arts to memorials, concerts, auctions, and other community events."" Shows can be held any night of the week.",Requires Premium,,,,https://www.indieonthemove.com/venues/martin-exeter-hall-100-mile-house-british-columbia,https://www.indieonthemove.com/venues/martin-exeter-hall-100-mile-house-british-columbia,British Columbia,2026-05-03T13:47:40,theatre,,,,,False,,275.0,275.0,275.0,known,known
Mackie Lake House,Coldstream,BC,V1B 1S2,"7804 Kidston Road, Coldstream, BC V1B 1S2",,https://www.mackiehouse.ca/,"Music Venue, Seasonal","Acoustic, Americana, Bluegrass, Folk, Old Time, Roots Music, Singer-Songwriter, Traditional",200.0,,,"""This heritage home was built in 1910 and is nestled on Kalamalka Lake in the beautiful Okanagan!"" They host live music on select Fridays during the warmer months.",Requires Premium,https://www.facebook.com/MackieLakeHouse,https://www.instagram.com/mackielakehouse,,https://www.indieonthemove.com/venues/mackie-lake-house-coldstream-british-columbia,https://www.indieonthemove.com/venues/mackie-lake-house-coldstream-british-columbia,British Columbia,2026-05-03T13:47:44,venue,,,,,False,,200.0,200.0,200.0,known,known
Jac's On Queens,Duncan,BC,V9L 2W4,"60 Queens Road, Duncan, BC V9L 2W4",,,"Music Venue, Bar",All Genres,,19+,,"""Pool Table, Keno, Poker, Pull Tabs, dance floor, karaoke, smoking patio and More!"" They host live music on Saturday nights.",Requires Premium,https://www.facebook.com/jacsonqueens/,https://www.instagram.com/jacs_on_queens/,,https://www.indieonthemove.com/venues/jacs-on-queens-duncan-british-columbia,https://www.indieonthemove.com/venues/jacs-on-queens-duncan-british-columbia,British Columbia,2026-05-03T13:47:48,club,,,,,False,,300.0,120.0,750.0,province_type_median,low
Simonholt Restaurant,Nanaimo,BC,V9V 0A4,"6582 Applecross Road, Nanaimo, BC V9V 0A4",,https://www.simonholt.ca/,"Music Venue, Restaurant","Big Band, Classic Rock, Fusion, Instrumental, Jazz, Rock",,,,"""The finest dining experience in Nanaimo."" Shows take place once or twice a month, generally on Sundays, but they are flexible.",Requires Premium,https://www.facebook.com/SimonHoltFood/,https://www.instagram.com/simonholtnanaimo/,,https://www.indieonthemove.com/venues/simonholt-restaurant-nanaimo-british-columbia,https://www.indieonthemove.com/venues/simonholt-restaurant-nanaimo-british-columbia,British Columbia,2026-05-03T13:47:52,restaurant,,,,,False,,700.0,280.0,1755.0,province_type_median,low
Purple City Music Festival,Edmonton,AB,T5J 0V6,"Edmonton, AB T5J 0V6",,https://www.purplecityfest.com/,Music Festival,All Genres,,,5.0,"""The Purple City Music Festival is a multi-venue festival located in 2 block radius in the downtown Edmonton Core. The festival is focused on promoting independent and underground music."" The festival takes place in early September.",Requires Premium,https://www.facebook.com/purplecityfest,https://www.instagram.com/purplecityfest/,,https://www.indieonthemove.com/venues/purple-city-music-festival-edmonton-alberta,https://www.indieonthemove.com/venues/purple-city-music-festival-edmonton-alberta,Alberta,2026-05-03T13:48:27,festival,,,,,False,,590.0,235.0,1475.0,province_type_median,low
